PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"800 Florida Ave NE, Washington, DC 20002",,,,,,,,,
Location:,"Lat, Lon: 38.89, -76.98",,,,,,,,,
Lat (deg N):,38.89,,,,,,,,,
Long (deg W):,76.98,,,,,,,,,
Elev (m):,22.44000053,,,,,,,,,
DC System Size (kW):,34,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.11,,,,,,,,,
Capacity Factor (%),"15.6	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,11,13,890,77,0,4,741.352,16.53,22299.475,21453.061
1,11,14,830,70,0,3,605.272,15.09,18114.65,17435.975
1,11,15,713,55,0,2,406.262,11.459,11925.307,11459.608
1,11,16,432,28,-1,2,160.168,2.897,4375.304,4112.684
1,11,17,0,0,-2,2,0,-2,0,0
1,11,18,0,0,-3,2,0,-3,0,0
1,11,19,0,0,-3,2,0,-3,0,0
1,11,20,0,0,-3,2,0,-3,0,0
1,11,21,0,0,-4,2,0,-4,0,0
1,11,22,0,0,-3,3,0,-3,0,0
1,11,23,0,0,-3,4,0,-3,0,0
1,12,0,0,0,-4,4,0,-4,0,0
1,12,1,0,0,-4,4,0,-4,0,0
1,12,2,0,0,-4,4,0,-4,0,0
1,12,3,0,0,-4,5,0,-4,0,0
1,12,4,0,0,-5,5,0,-5,0,0
1,12,5,0,0,-5,4,0,-5,0,0
1,12,6,0,0,-5,4,0,-5,0,0
1,12,7,0,0,-5,4,0,-5,0,0
1,12,8,606,43,-4,5,281.832,0.062,8314.968,7954.157
1,12,9,790,61,-3,5,510.103,6.03,15661.642,15072.386
1,12,10,874,71,-2,5,681.685,10.777,20942.057,20152.15
1,12,11,907,78,-1,5,781.384,14.01,23823.896,22911.621
1,12,12,910,81,0,5,802.474,15.585,24321.777,23387.438
1,12,13,900,75,0,4,748.121,16.691,22489.887,21635.385
1,12,14,845,68,0,4,614.273,13.63,18508.854,17815.193
1,12,15,725,55,0,3,413.747,10.107,12226.159,11751.077
1,12,16,452,28,-2,1,167.023,3.44,4553.603,4286.906
